Persoon,DPP1,DPP2,DPP3,DPP4,DCP1,DCP2,DCP3,DCP4,DDP1,DDP2,DDP3,DDP4,PKP1,PKP2,PKP3,PKP4,PSP1,PSP2,PSP3,PSP4,PBP1,PBP2,PBP3,PBP4,OIP1,OIP2,OIP3,OIP4,OAP1,OAP2,OAP3,OAP4,OAUP1,OAUP2,OAUP3,OAUP4,IIP1,IIP2,IIP3,IIP4,IHP1,IHP2,IHP3,IHP4,MDP1,MDP2,MDP3,MDP4,MUP1,MUP2,MUP3,MUP4
1,0,2,1,1,3,3,1,1,2,2,1,2,3,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,1,1,2,2,2,2,0,0,1,1,2,2,2,2,2,2,1,1,3,2,2,2
2,3,1,3,1,3,3,1,2,1,0,0,0,3,3,3,1,2,3,2,1,3,3,2,1,3,2,3,1,3,3,3,1,3,0,2,0,3,3,2,3,1,3,2,0,1,1,2,1,3,2,2,3
3,2,3,3,0,3,2,2,2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,0,3,3,2,2,3,2,2,0,3,0,2,2,0,2,2,2,0,2,2,2,3,3,3,2
4,3,1,1,1,1,2,2,1,3,1,2,1,2,2,2,2,3,3,2,2,3,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,3,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1
5,3,3,3,2,3,2,2,1,2,3,2,3,2,1,1,1,2,3,2,2,3,3,2,2,3,2,3,1,3,3,0,0,3,3,0,2,3,3,1,2,2,2,2,2,1,2,2,0,2,2,2,2
6,3,3,2,1,3,2,1,1,0,0,0,1,2,2,2,1,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,2,1,0,1,2,2,1,1,1,1,1,1
7,3,1,1,2,3,0,0,0,0,3,3,3,2,2,2,0,0,2,2,2,,,,,3,2,0,0,,,,,,,,,2,2,2,3,0,0,0,2,2,0,0,0,1,2,1,1
8,3,3,2,2,2,2,1,1,2,2,1,1,2,2,0,0,2,2,2,2,2,3,2,2,3,3,2,1,2,2,2,2,1,1,1,1,0,3,3,1,1,0,0,0,,,,,,,,
9,3,1,1,0,3,1,2,1,3,2,0,3,2,3,0,0,2,0,0,1,0,3,3,2,1,1,0,1,1,1,1,1,0,2,1,1,2,2,1,1,0,1,0,3,1,1,0,0,1,2,2,0
10,2,3,3,1,3,3,2,1,2,2,0,0,3,3,2,2,3,3,2,2,3,3,3,2,3,1,0,0,2,2,0,0,3,0,0,0,1,3,2,0,,,,,,,,,,,,
11,2,2,3,0,0,3,1,1,2,1,2,2,3,3,2,2,2,3,1,1,3,2,2,1,0,1,0,0,0,0,1,2,3,0,1,2,2,2,1,1,0,1,2,3,1,1,2,2,1,1,1,1
12,2,3,3,1,3,2,1,1,3,2,2,0,3,3,2,1,2,3,2,2,3,3,2,2,3,2,2,2,2,2,3,0,2,0,0,0,0,2,0,0,1,1,0,0,,,,,2,2,2,2
13,3,2,1,1,3,2,0,1,2,3,1,1,2,1,2,2,2,2,2,2,3,3,3,2,3,2,2,1,2,1,1,1,1,2,1,1,0,2,1,1,1,1,1,1,1,2,2,2,3,3,2,2
14,,,,,,,,,,,,,3,3,3,3,3,3,3,2,0,0,3,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,3,1,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3,3,3,0,3,3,3,3,0,0,0,,,,,,,,,,,,,3,3,3,0,0,3,0,0,,,,
16,2,3,0,0,3,3,0,0,2,0,0,0,,,,,2,2,1,2,2,3,2,2,1,1,0,0,2,0,0,0,,,,,2,2,2,2,0,2,0,0,0,2,2,2,,,,
